name,upc1,upc2
EXOTIC PINK TOB 100G,8472440021370,0847244002137
EON WATERMELON PODS 1CT,8526750727030,0852675072703
EON SOUR APPLE PODS 1CT,8526750717510,0852675071751
EON SILY STRAWBERRY PODS 1CT,8526750726730,0852675072673
EON PODS ALL FLAVOR ICT,EON0,0000000000EON
EON POD MANGO 1CT,8526750726800,0852675072680
EON PINEAPPLE CRUSH PODS 1CT,8526750725290,0852675072529
EON MULTI PODS 1CT,8526750726420,0852675072642
EON LUSH ICE PODS 1CT,8526750723830,0852675072383
EON GRAPE PODS 1CT,8526750724440,0852675072444
DOUBLE PLATINUM XXL GRAPE,6445362861270,0644536286127
DOUBLE PLATINUM XO COGNAC 25CT,6445362270210,0644536227021
DOUBLE PLATINUM WILD HONEY 25C,6445362274270,0644536227427
DOUBLE PLATINUM WHITE GRAPE,6445362483230,0644536248323
DOUBLE PLATINUM WET CHERRY25CT                    DOUBLE PLATINUM WET CHERRY25CT,6445362276250,0644536227625
DOUBLE PLATINUM WATERMELON,6445362264200,0644536226420
DOUBLE PLATINUM STRW/ KIWI,6445362260240,0644536226024
DOUBLE PLATINUM PURPLE 25CT,6445362277240,0644536227724
DOUBLE PLATINUM PINA COLADA,6445362265290,0644536226529
DOUBLE PLATINUM PEACH 25 CT                       DOUBLE PLATINUM PEACH 25 CT,6445362263210,0644536226321
DOUBLE PLATINUM MOJITO 25 CT,6445362280280,0644536228028
DOUBLE PLATINUM GRAPE 25CT                        DOUBLE PLATINUM GRAPE 25CT,6445362261230,0644536226123
DOUBLE PLATINUM FR/VANILLA,6445362268260,0644536226826
DOUBLE PLATINUM COSMOPOLITAN,6445362266280,0644536226628
DOUBLE PLATINUM CHOCOLATE25 CT,6445362271200,0644536227120
